study_id,study_name,year,intervention_category,intervention_specific,intervention_subtype,dose_value,dose_unit,dose_frequency,population,baseline_ldl_mg_dl,n,ldl_change_value,ldl_change_unit,ldl_change_se,ci_low,ci_high,on_top_of,evidence_quality,source_paper,notes
VOYAGER_ASCVD_atv40,VOYAGER,2015,statin,atorvastatin,NA,40,mg,daily,ASCVD,NA,778,-45,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_ASCVD_atv80,VOYAGER,2015,statin,atorvastatin,NA,80,mg,daily,ASCVD,NA,1385,-50,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_ASCVD_rsv20,VOYAGER,2015,statin,rosuvastatin,NA,20,mg,daily,ASCVD,NA,749,-49,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_ASCVD_rsv40,VOYAGER,2015,statin,rosuvastatin,NA,40,mg,daily,ASCVD,NA,1824,-54,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_LDL190_atv40,VOYAGER,2015,statin,atorvastatin,NA,40,mg,daily,LDL_geq_190,NA,534,-49,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_LDL190_atv80,VOYAGER,2015,statin,atorvastatin,NA,80,mg,daily,LDL_geq_190,NA,507,-53,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_LDL190_rsv20,VOYAGER,2015,statin,rosuvastatin,NA,20,mg,daily,LDL_geq_190,NA,192,-52,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_LDL190_rsv40,VOYAGER,2015,statin,rosuvastatin,NA,40,mg,daily,LDL_geq_190,NA,1150,-57,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_DM_atv40,VOYAGER,2015,statin,atorvastatin,NA,40,mg,daily,diabetes,NA,213,-46,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_DM_atv80,VOYAGER,2015,statin,atorvastatin,NA,80,mg,daily,diabetes,NA,374,-51,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_DM_rsv20,VOYAGER,2015,statin,rosuvastatin,NA,20,mg,daily,diabetes,NA,231,-51,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_DM_rsv40,VOYAGER,2015,statin,rosuvastatin,NA,40,mg,daily,diabetes,NA,450,-57,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_RISK7_atv40,VOYAGER,2015,statin,atorvastatin,NA,40,mg,daily,10yr_risk_geq_7.5pct,NA,104,-46,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_RISK7_atv80,VOYAGER,2015,statin,atorvastatin,NA,80,mg,daily,10yr_risk_geq_7.5pct,NA,169,-49,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_RISK7_rsv20,VOYAGER,2015,statin,rosuvastatin,NA,20,mg,daily,10yr_risk_geq_7.5pct,NA,156,-50,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_RISK7_rsv40,VOYAGER,2015,statin,rosuvastatin,NA,40,mg,daily,10yr_risk_geq_7.5pct,NA,103,-54,percent,1.5,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
VOYAGER_ALL_atv40,VOYAGER,2015,statin,atorvastatin,NA,40,mg,daily,all_patients,NA,1147,-47,percent,1.0,NA,NA,NA,RCT_meta_IPD_8496exposures,Karlson_2015_PMID26074319,verified_against_Fig1_SE_estimated_from_errorbars
